edge_id,kind,from_node,to_node,area_m2,resistance_Pa_s2_m6,target_m3_s,flow_m3_s,velocity_m_s,shortfall_m3_s,closed,flow_p05_m3_s,flow_p50_m3_s,flow_p95_m3_s,target_probability
main-fan,fan,fan-house,atmosphere-out,30,0.004,0,227.25585411930484,7.575195137310161,0.0,False,218.8706595134622,227.54356455777446,234.80613179057076,1.0
intake-shaft-0,intake,atmosphere-in,intake-0,30,0.012,0,227.2558541193049,7.575195137310163,0.0,False,218.87065951346221,227.54356455777446,234.80613179057076,1.0
return-shaft-0,return,return-0,fan-house,28,0.015,0,227.25585411930484,8.116280504260887,0.0,False,218.8706595134622,227.54356455777446,234.80613179057076,1.0
l0-supply-0,intake,intake-0,l0-in-0,22,0.025,0,88.14103654795204,4.006410752179638,0.0,False,83.09465417533443,88.13804097852028,93.0745422805862,1.0
l0-extract-0,return,l0-out-0,return-0,22,0.03,0,78.59161569124348,3.5723461677837944,0.0,False,74.56596073243567,78.49482202133194,82.60575112415165,1.0
l0-working-0,working,l0-in-0,l0-stope-0,13,0.75,15,31.2635926399122,2.4048917415317077,0.0,False,28.032151204813893,31.340398274888333,34.40630219033767,1.0
l0-stope-return-0,return,l0-stope-0,l0-out-0,15,0.22,0,31.2635926399122,2.08423950932748,0.0,False,28.032151204813893,31.340398274888333,34.40630219033767,1.0
l0-supply-1,intake,l0-in-0,l0-in-1,22,0.033,0,56.87744390803984,2.5853383594563564,0.0,False,53.24089870536278,56.705681544845035,60.756034924337484,1.0
l0-extract-1,return,l0-out-1,l0-out-0,22,0.037,0,47.328023051331286,2.151273775060513,0.0,False,44.77621280025474,47.152384248298375,50.15768934641134,1.0
l0-working-1,working,l0-in-1,l0-stope-1,14,0.94,18,25.193071589067326,1.799505113504809,0.0,False,22.804034861406123,25.21074890150345,27.706942045800012,1.0
l0-stope-return-1,return,l0-stope-1,l0-out-1,15,0.255,0,25.193071589067326,1.6795381059378218,0.0,False,22.804034861406123,25.21074890150345,27.706942045800012,1.0
l0-supply-2,intake,l0-in-1,l0-in-2,22,0.041,0,31.684372318972507,1.4401987417714777,0.0,False,28.233648612558756,31.45815798945287,34.92252436487915,1.0
l0-extract-2,return,l0-out-2,l0-out-1,22,0.044,0,22.13495146226396,1.0061341573756346,0.0,False,20.12235014785805,22.110283967351847,23.977839832271275,1.0
l0-working-2,working,l0-in-2,l0-stope-2,15,1.13,15,22.13495146226396,1.4756634308175973,0.0,False,20.12235014785805,22.110283967351847,23.977839832271275,1.0
l0-stope-return-2,return,l0-stope-2,l0-out-2,15,0.29000000000000004,0,22.13495146226396,1.4756634308175973,0.0,False,20.12235014785805,22.110283967351847,23.977839832271275,1.0
intake-shaft-1,intake,intake-0,intake-1,30,0.016,0,139.11481757135283,4.637160585711761,0.0,False,132.31898946424417,139.2958849424853,144.97735174681108,1.0
return-shaft-1,return,return-1,return-0,28,0.018,0,148.6642384280614,5.309437086716478,0.0,False,142.53298764116926,148.91013177070846,154.34639113225256,1.0
l1-supply-0,intake,intake-1,l1-in-0,22,0.025,0,51.81195532919501,2.3550888785997732,0.0,False,48.12215345771885,51.78452140259704,55.811392829622164,1.0
l1-extract-0,return,l1-out-0,return-1,22,0.03,0,51.97575882526829,2.3625344920576494,0.0,False,48.94620080969685,52.2228505088859,55.28579020802588,1.0
l1-working-0,working,l1-in-0,l1-stope-0,13,0.97,15,19.9155338450107,1.5319641419239,0.0,False,17.947715761818063,19.92813780105466,21.884899070342602,1.0
l1-stope-return-0,return,l1-stope-0,l1-out-0,15,0.22,0,19.9155338450107,1.3277022563340466,0.0,False,17.947715761818063,19.92813780105466,21.884899070342602,1.0
l1-supply-1,intake,l1-in-0,l1-in-1,22,0.033,0,31.89642148418431,1.4498373401901958,0.0,False,28.77776221783371,32.03013320811349,34.85093008845429,1.0
l1-extract-1,return,l1-out-1,l1-out-0,22,0.037,0,32.06022498025759,1.457282953648072,0.0,False,29.847375836372034,32.14789733195056,34.38484518945958,1.0
l1-working-1,working,l1-in-1,l1-stope-1,14,1.16,18,16.82131320834579,1.2015223720246992,1.1786867916542114,False,15.469875566600571,16.8736637657611,18.49410411779224,0.12109375
l1-stope-return-1,return,l1-stope-1,l1-out-1,15,0.255,0,16.82131320834579,1.121420880556386,0.0,False,15.469875566600571,16.8736637657611,18.49410411779224,1.0
l1-supply-2,intake,l1-in-1,l1-in-2,22,0.041,0,15.075108275838518,0.6852321943562963,0.0,False,12.297662404678231,15.010558415336693,17.843283314624333,1.0
l1-extract-2,return,l1-out-2,l1-out-1,22,0.044,0,15.238911771911797,0.6926778078141725,0.0,False,13.791343765864491,15.234841169860374,16.85030979666854,1.0
l1-working-2,working,l1-in-2,l1-stope-2,15,1.35,15,15.238911771911797,1.0159274514607863,0.0,False,13.791343765864491,15.234841169860374,16.85030979666854,0.6015625
l1-stope-return-2,return,l1-stope-2,l1-out-2,15,0.29000000000000004,0,15.238911771911797,1.0159274514607863,0.0,False,13.791343765864491,15.234841169860374,16.85030979666854,1.0
ramp-link-1,crosscut,l0-in-2,l1-in-2,16,0.85,0,9.549420856708544,0.596838803544284,0.0,False,6.740002410099861,9.499293583543416,12.133101073991376,1.0
intake-shaft-2,intake,intake-1,intake-2,30,0.02,0,87.30286224215786,2.910095408071929,0.0,False,82.91317502757707,86.90998816396592,91.62943589797968,1.0
return-shaft-2,return,return-2,return-1,28,0.020999999999999998,0,96.68847960279311,3.4531599858140396,0.0,False,92.26772043890709,96.36153992659138,100.96218221220525,1.0
l2-supply-0,intake,intake-2,l2-in-0,22,0.025,0,29.31342001321277,1.3324281824187623,0.0,False,26.364445811216672,29.19397597455381,32.14563636399759,1.0
l2-extract-0,return,l2-out-0,return-2,22,0.03,0,33.20516722706675,1.5093257830484887,0.0,False,31.06827603335778,33.02693885830665,35.37938654238451,1.0
l2-working-0,working,l2-in-0,l2-stope-0,13,1.19,15,12.400730545171838,0.9539023496286029,2.5992694548281623,False,10.94934507759982,12.41754028571421,13.78221113448214,0.0
l2-stope-return-0,return,l2-stope-0,l2-out-0,15,0.22,0,12.400730545171838,0.8267153696781225,0.0,False,10.94934507759982,12.41754028571421,13.78221113448214,1.0
l2-supply-1,intake,l2-in-0,l2-in-1,22,0.033,0,16.91268946804093,0.7687586121836787,0.0,False,14.757737132410412,16.863223975984234,19.15729733772382,1.0
l2-extract-1,return,l2-out-1,l2-out-0,22,0.037,0,20.804436681894916,0.9456562128134053,0.0,False,19.097800428518823,20.674796106655144,22.191199027449983,1.0
l2-working-1,working,l2-in-1,l2-stope-1,14,1.38,18,10.818868658331885,0.7727763327379918,7.181131341668115,False,9.688767952693041,10.76592141503809,11.928389196121463,0.0
l2-stope-return-1,return,l2-stope-1,l2-out-1,15,0.255,0,10.818868658331885,0.721257910555459,0.0,False,9.688767952693041,10.76592141503809,11.928389196121463,1.0
l2-supply-2,intake,l2-in-1,l2-in-2,22,0.041,0,6.093820809709047,0.27699185498677487,0.0,False,4.19090064413619,6.102098167335404,8.008276915647812,1.0
