edge_id,kind,from_node,to_node,area_m2,resistance_Pa_s2_m6,target_m3_s,flow_m3_s,velocity_m_s,shortfall_m3_s,closed,flow_p05_m3_s,flow_p50_m3_s,flow_p95_m3_s,target_probability
main-fan,fan,fan-house,atmosphere-out,30,0.004,0,225.808185601728,7.5269395200576,0.0,False,217.3312793943041,226.25639914512914,234.4568544620598,1.0
intake-shaft-0,intake,atmosphere-in,intake-0,30,0.012,0,225.808185601728,7.5269395200576,0.0,False,217.33127939430412,226.25639914512914,234.45685446205982,1.0
return-shaft-0,return,return-0,fan-house,28,0.015,0,225.808185601728,8.064578057204573,0.0,False,217.3312793943041,226.25639914512914,234.4568544620598,1.0
l0-supply-0,intake,intake-0,l0-in-0,22,0.025,0,88.78288290387026,4.035585586539558,0.0,False,84.40657386069704,88.85621120332934,93.75450840616881,1.0
l0-extract-0,return,l0-out-0,return-0,22,0.03,0,79.53180074182337,3.6150818519010626,0.0,False,75.70694190210605,79.92529514278078,84.24209265044848,1.0
l0-working-0,working,l0-in-0,l0-stope-0,13,0.75,15,31.61707027149499,2.4320823285765374,0.0,False,28.892652153261082,31.592847148847873,34.525048419598996,1.0
l0-stope-return-0,return,l0-stope-0,l0-out-0,15,0.22,0,31.61707027149499,2.1078046847663328,0.0,False,28.892652153261082,31.592847148847873,34.525048419598996,1.0
l0-supply-1,intake,l0-in-0,l0-in-1,22,0.033,0,57.16581263237528,2.598446028744331,0.0,False,53.58927960436189,57.29448490617628,61.21383792402093,1.0
l0-extract-1,return,l0-out-1,l0-out-0,22,0.037,0,47.91473047032838,2.1779422941058355,0.0,False,45.03834689792063,48.19319859798707,51.31515446604823,1.0
l0-working-1,working,l0-in-1,l0-stope-1,14,0.94,18,25.496949895575245,1.8212107068268033,0.0,False,23.035882680239663,25.74000240222686,27.96363325187407,1.0
l0-stope-return-1,return,l0-stope-1,l0-out-1,15,0.255,0,25.496949895575245,1.6997966597050163,0.0,False,23.035882680239663,25.74000240222686,27.96363325187407,1.0
l0-supply-2,intake,l0-in-1,l0-in-2,22,0.041,0,31.668862736800033,1.4394937607636378,0.0,False,28.56837064036602,31.51107325035822,35.00840879628043,1.0
l0-extract-2,return,l0-out-2,l0-out-1,22,0.044,0,22.417780574753134,1.0189900261251426,0.0,False,20.552535959426258,22.538896260951006,24.853202047473033,1.0
l0-working-2,working,l0-in-2,l0-stope-2,15,1.13,15,22.417780574753134,1.4945187049835422,0.0,False,20.552535959426258,22.538896260951006,24.853202047473033,1.0
l0-stope-return-2,return,l0-stope-2,l0-out-2,15,0.29000000000000004,0,22.417780574753134,1.4945187049835422,0.0,False,20.552535959426258,22.538896260951006,24.853202047473033,1.0
intake-shaft-1,intake,intake-0,intake-1,30,0.016,0,137.02530269785774,4.567510089928591,0.0,False,130.63698176297936,137.0510301240754,144.20939029486655,1.0
return-shaft-1,return,return-1,return-0,28,0.018,0,146.27638485990465,5.224156602139452,0.0,False,140.15767057898978,146.06007528296493,152.5245951608894,1.0
l1-supply-0,intake,intake-1,l1-in-0,22,0.025,0,53.78833290799976,2.444924223090898,0.0,False,50.565609996807,53.94310796507334,57.57793205972549,1.0
l1-extract-0,return,l1-out-0,return-1,22,0.03,0,54.083612380524684,2.4583460172965768,0.0,False,50.92411564389673,53.98811712886449,57.54789138020014,1.0
l1-working-0,working,l1-in-0,l1-stope-0,13,0.97,15,20.718835298949962,1.5937565614576894,0.0,False,19.15184390061999,20.742074677265915,22.81466969705631,1.0
l1-stope-return-0,return,l1-stope-0,l1-out-0,15,0.22,0,20.718835298949962,1.381255686596664,0.0,False,19.15184390061999,20.742074677265915,22.81466969705631,1.0
l1-supply-1,intake,l1-in-0,l1-in-1,22,0.033,0,33.0694976090498,1.5031589822295361,0.0,False,30.255963844685905,33.1075627659054,36.385328812636615,1.0
l1-extract-1,return,l1-out-1,l1-out-0,22,0.037,0,33.36477708157472,1.5165807764352146,0.0,False,31.109214714767063,33.236223713895875,35.56608357871972,1.0
l1-working-1,working,l1-in-1,l1-stope-1,14,1.16,18,17.50424941630167,1.2503035297358334,0.4957505836983316,False,15.958993146613185,17.43964569245826,19.171387148579107,0.32421875
l1-stope-return-1,return,l1-stope-1,l1-out-1,15,0.255,0,17.504249416301665,1.1669499610867777,0.0,False,15.958993146613185,17.43964569245826,19.171387148579107,1.0
l1-supply-2,intake,l1-in-1,l1-in-2,22,0.041,0,15.565248192748127,0.7075112814885512,0.0,False,13.06827235479105,15.56062540153961,18.91478764404118,1.0
l1-extract-2,return,l1-out-2,l1-out-1,22,0.044,0,15.860527665273061,0.72093307569423,0.0,False,14.195921278159915,15.746525672102148,17.534583704101806,1.0
l1-working-2,working,l1-in-2,l1-stope-2,15,1.35,15,15.860527665273061,1.057368511018204,0.0,False,14.195921278159915,15.746525672102148,17.534583704101806,0.77734375
l1-stope-return-2,return,l1-stope-2,l1-out-2,15,0.29000000000000004,0,15.860527665273061,1.057368511018204,0.0,False,14.195921278159915,15.746525672102148,17.534583704101806,1.0
ramp-link-1,crosscut,l0-in-2,l1-in-2,16,0.85,0,9.251082162046899,0.5781926351279312,0.0,False,6.76472994349008,8.990916297947871,11.630115282609653,1.0
intake-shaft-2,intake,intake-1,intake-2,30,0.02,0,83.23696978985801,2.7745656596619335,0.0,False,78.9768032885928,83.39745255095569,87.81626262860972,1.0
return-shaft-2,return,return-2,return-1,28,0.020999999999999998,0,92.19277247937998,3.292599017120714,0.0,False,87.62339671586425,92.28575387801634,96.80925761350177,1.0
l2-supply-0,intake,intake-2,l2-in-0,22,0.025,0,34.96903874535564,1.589501761152529,0.0,False,32.57381938463308,34.85959300192726,37.64175736085176,1.0
l2-extract-0,return,l2-out-0,return-2,22,0.03,0,37.66492343379315,1.712041974263325,0.0,False,35.34531686812025,37.574979173951846,40.29634297487262,1.0
l2-working-0,working,l2-in-0,l2-stope-0,13,1.19,15,14.110115159852823,1.0853934738348325,0.8898848401471771,False,12.755049541899588,14.110523928872775,15.504652089735247,0.140625
l2-stope-return-0,return,l2-stope-0,l2-out-0,15,0.22,0,14.110115159852823,0.9406743439901882,0.0,False,12.755049541899588,14.110523928872775,15.504652089735247,1.0
l2-supply-1,intake,l2-in-0,l2-in-1,22,0.033,0,20.85892358550281,0.9481328902501278,0.0,False,18.887508862581633,20.873531271440875,23.02965894854025,1.0
l2-extract-1,return,l2-out-1,l2-out-0,22,0.037,0,23.554808273940328,1.070673103360924,0.0,False,21.655478750872348,23.5650831187524,25.462488929306645,1.0
l2-working-1,working,l2-in-1,l2-stope-1,14,1.38,18,12.262113043682637,0.8758652174059026,5.737886956317363,False,10.958398229048838,12.269548394575182,13.565530595188603,0.0
l2-stope-return-1,return,l2-stope-1,l2-out-1,15,0.255,0,12.262113043682637,0.8174742029121759,0.0,False,10.958398229048838,12.269548394575182,13.565530595188603,1.0
l2-supply-2,intake,l2-in-1,l2-in-2,22,0.041,0,8.596810541820178,0.3907641155372808,0.0,False,6.76661195900247,8.617164576184347,10.500301061535215,1.0
l2-extract-2,return,l2-out-2,l2-out-1,22,0.044,0,11.292695230257689,0.5133043286480767,0.0,False,10.131699032208518,11.259856179594223,12.663134206648596,1.0
l2-working-2,working,l2-in-2,l2-stope-2,15,1.5699999999999998,15,11.292695230257689,0.7528463486838459,3.7073047697423114,False,10.131699032208518,11.259856179594223,12.663134206648596,0.0
l2-stope-return-2,return,l2-stope-2,l2-out-2,15,0.29000000000000004,0,11.292695230257689,0.7528463486838459,0.0,False,10.131699032208518,11.259856179594223,12.663134206648596,1.0
ramp-link-2,crosscut,l1-in-2,l2-in-2,16,0.85,0,8.955802689521969,0.559737668095123,0.0,False,7.521835446377887,8.87255841353474,10.58190514858699,1.0
intake-shaft-3,intake,intake-2,intake-3,30,0.024,0,48.267931044502376,1.6089310348167458,0.0,False,45.44342082245968,48.392471329704044,51.17292391654589,1.0
return-shaft-3,return,return-3,return-2,28,0.024,0,54.527849045586834,1.9474231801995299,0.0,False,51.21176288262888,54.60652883224628,57.44914020561944,1.0
l3-supply-0,intake,intake-3,l3-in-0,22,0.025,0,25.729233495417184,1.1695106134280537,0.0,False,23.758069864024908,25.8209262683052,27.755240466571948,1.0
l3-extract-0,return,l3-out-0,return-3,22,0.03,0,28.876795378249476,1.312581608102249,0.0,False,26.880956492183124,29.008210434946516,30.87620236898567,1.0
l3-working-0,working,l3-in-0,l3-stope-0,13,1.4100000000000001,15,10.653921633490013,0.8195324333453856,4.346078366509987,False,9.526472053832151,10.69679060428655,11.923870903945682,0.0
l3-stope-return-0,return,l3-stope-0,l3-out-0,15,0.22,0,10.653921633490013,0.7102614422326675,0.0,False,9.526472053832151,10.69679060428655,11.923870903945682,1.0
l3-supply-1,intake,l3-in-0,l3-in-1,22,0.033,0,15.075311861927176,0.6852414482694171,0.0,False,13.625482038039095,15.033722449459612,16.78000186585921,1.0
l3-extract-1,return,l3-out-1,l3-out-0,22,0.037,0,18.222873744759468,0.8283124429436122,0.0,False,16.878782324672017,18.311685349893843,19.72864092240275,1.0
l3-working-1,working,l3-in-1,l3-stope-1,14,1.6,18,9.437791887001781,0.6741279919286987,8.562208112998219,False,8.393814833285983,9.487952208313308,10.515419798597938,0.0
l3-stope-return-1,return,l3-stope-1,l3-out-1,15,0.255,0,9.437791887001781,0.6291861258001188,0.0,False,8.393814833285983,9.487952208313308,10.515419798597938,1.0
