edge_id,kind,from_node,to_node,area_m2,resistance_Pa_s2_m6,target_m3_s,flow_m3_s,velocity_m_s,shortfall_m3_s,closed,flow_p05_m3_s,flow_p50_m3_s,flow_p95_m3_s,target_probability
intake-decline,intake,atmosphere-in,intake-hub,35,0.018,0,151.15821398319318,4.318806113805519,0.0,False,145.37653069373425,151.09536860201428,157.37719919774528,1.0
district-fan,fan,return-hub,atmosphere-out,35,0.02,0,151.15821398319318,4.318806113805519,0.0,False,145.37653069373425,151.09536860201428,157.37719919774528,1.0
west-supply-0,intake,intake-hub,west-i0,24,0.24,0,74.96006656838158,3.123336107015899,0.0,False,69.97820479225472,74.79440569108813,80.39006647864346,1.0
west-return-0,return,west-r0,return-hub,24,0.034999999999999996,0,74.96006656838158,3.123336107015899,0.0,False,69.97820479225472,74.79440569108813,80.39006647864346,1.0
west-production-0,working,west-i0,west-face0,14,0.63,20,22.761191345784106,1.6257993818417218,0.0,False,20.264103727051896,22.784065840069538,25.172800407267257,0.97265625
west-face-return-0,return,west-face0,west-r0,16,0.21,0,22.761191345784106,1.4225744591115066,0.0,False,20.264103727051896,22.784065840069538,25.172800407267257,1.0
west-supply-1,intake,west-i0,west-i1,24,0.027999999999999997,0,52.19887522259748,2.174953134274895,0.0,False,48.85027784562385,51.84459889996653,56.331529672327974,1.0
west-return-1,return,west-r1,west-r0,24,0.034999999999999996,0,52.19887522259748,2.174953134274895,0.0,False,48.85027784562385,51.84459889996653,56.331529672327974,1.0
west-production-1,working,west-i1,west-face1,14,0.735,20,16.69910545552465,1.1927932468231892,3.3008945444753515,False,14.85388010223551,16.53480866992886,18.52219359269678,0.0
west-face-return-1,return,west-face1,west-r1,16,0.21,0,16.699105455524652,1.0436940909702908,0.0,False,14.85388010223551,16.53480866992886,18.52219359269678,1.0
west-supply-2,intake,west-i1,west-i2,24,0.027999999999999997,0,35.499769767072834,1.4791570736280348,0.0,False,32.67446715537446,35.32166310116663,38.25437010562907,1.0
west-return-2,return,west-r2,west-r1,24,0.034999999999999996,0,35.49976976707283,1.4791570736280344,0.0,False,32.67446715537445,35.32166310116663,38.25437010562907,1.0
west-production-2,working,west-i2,west-face2,14,0.84,20,13.242359740708947,0.9458828386220677,6.757640259291053,False,11.793394323764353,13.250600167278579,14.77497820263802,0.0
west-face-return-2,return,west-face2,west-r2,16,0.21,0,13.242359740708947,0.8276474837943092,0.0,False,11.793394323764353,13.250600167278579,14.77497820263802,1.0
west-supply-3,intake,west-i2,west-i3,24,0.027999999999999997,0,22.25741002636389,0.9273920844318287,0.0,False,20.30330169830987,22.112507715259248,24.095116567266423,1.0
west-return-3,return,west-r3,west-r2,24,0.034999999999999996,0,22.25741002636389,0.9273920844318287,0.0,False,20.30330169830987,22.112507715259248,24.095116567266423,1.0
west-production-3,working,west-i3,west-face3,14,0.945,20,11.506383739529829,0.8218845528235592,8.493616260470171,False,10.274271098062567,11.465377092722816,12.97633536085973,0.0
west-face-return-3,return,west-face3,west-r3,16,0.21,0,11.506383739529829,0.7191489837206143,0.0,False,10.274271098062567,11.465377092722816,12.97633536085973,1.0
west-supply-4,intake,west-i3,west-i4,24,0.027999999999999997,0,10.751026286834058,0.44795942861808574,0.0,False,9.661826127358168,10.661262479555788,11.9344184772743,1.0
west-return-4,return,west-r4,west-r3,24,0.034999999999999996,0,10.751026286834058,0.44795942861808574,0.0,False,9.661826127358168,10.661262479555788,11.9344184772743,1.0
west-production-4,working,west-i4,west-face4,14,1.0499999999999998,20,10.751026286834058,0.7679304490595756,9.248973713165942,False,9.661826127358168,10.661262479555788,11.9344184772743,0.0
west-face-return-4,return,west-face4,west-r4,16,0.21,0,10.751026286834058,0.6719391429271286,0.0,False,9.661826127358168,10.661262479555788,11.9344184772743,1.0
east-supply-0,intake,intake-hub,east-i0,24,0.068,0,76.19814741481156,3.1749228089504817,0.0,False,72.6142868855491,76.38875728277895,79.66071127429427,1.0
east-return-0,return,east-r0,return-hub,24,0.085,0,76.19814741481156,3.1749228089504817,0.0,False,72.6142868855491,76.38875728277895,79.66071127429427,1.0
east-production-0,working,east-i0,east-face0,14,1.53,20,23.137127445326335,1.6526519603804526,0.0,False,21.03606109402431,23.096859531528008,25.538549820292864,0.99609375
east-face-return-0,return,east-face0,east-r0,16,0.51,0,23.137127445326335,1.446070465332896,0.0,False,21.03606109402431,23.096859531528008,25.538549820292864,1.0
east-supply-1,intake,east-i0,east-i1,24,0.068,0,53.06101996948523,2.2108758320618844,0.0,False,50.349072236208976,53.06106057542959,55.81223520489238,1.0
east-return-1,return,east-r1,east-r0,24,0.085,0,53.06101996948523,2.2108758320618844,0.0,False,50.349072236208976,53.06106057542959,55.81223520489238,1.0
east-production-1,working,east-i1,east-face1,14,1.785,20,16.97491687837256,1.212494062740897,3.025083121627439,False,15.516953552661192,17.086850673578294,18.51496489568114,0.0078125
east-face-return-1,return,east-face1,east-r1,16,0.51,0,16.97491687837256,1.060932304898285,0.0,False,15.516953552661192,17.086850673578294,18.51496489568114,1.0
east-supply-2,intake,east-i1,east-i2,24,0.068,0,36.08610309111267,1.5035876287963612,0.0,False,33.811708271522214,36.0195450528545,38.435170098213014,1.0
east-return-2,return,east-r2,east-r1,24,0.085,0,36.086103091112676,1.5035876287963614,0.0,False,33.811708271522214,36.01954505285449,38.435170098213014,1.0
east-production-2,working,east-i2,east-face2,14,2.04,20,13.461077688905414,0.9615055492075296,6.538922311094586,False,12.298468165261351,13.421144942549674,14.713954119909536,0.0
east-face-return-2,return,east-face2,east-r2,16,0.51,0,13.461077688905414,0.8413173555565884,0.0,False,12.298468165261351,13.421144942549674,14.713954119909536,1.0
east-supply-3,intake,east-i2,east-i3,24,0.068,0,22.625025402207253,0.9427093917586356,0.0,False,20.866595852779852,22.550724697699387,24.162392920062786,1.0
east-return-3,return,east-r3,east-r2,24,0.085,0,22.625025402207253,0.9427093917586356,0.0,False,20.866595852779852,22.550724697699387,24.162392920062786,1.0
east-production-3,working,east-i3,east-face3,14,2.295,20,11.696429372781628,0.8354592409129734,8.303570627218372,False,10.64688858387931,11.67193367398874,12.948623620244312,0.0
east-face-return-3,return,east-face3,east-r3,16,0.51,0,11.696429372781628,0.7310268357988517,0.0,False,10.64688858387931,11.67193367398874,12.948623620244312,1.0
east-supply-4,intake,east-i3,east-i4,24,0.068,0,10.928596029425625,0.45535816789273437,0.0,False,9.797847487247367,10.88056589969618,11.974277149232986,1.0
east-return-4,return,east-r4,east-r3,24,0.085,0,10.928596029425625,0.45535816789273437,0.0,False,9.797847487247367,10.88056589969618,11.974277149232986,1.0
east-production-4,working,east-i4,east-face4,14,2.55,20,10.928596029425625,0.7806140021018304,9.071403970574375,False,9.797847487247367,10.88056589969618,11.974277149232986,0.0
east-face-return-4,return,east-face4,east-r4,16,0.51,0,10.928596029425625,0.6830372518391016,0.0,False,9.797847487247367,10.88056589969618,11.974277149232986,1.0
