edge_id,kind,from_node,to_node,area_m2,resistance_Pa_s2_m6,target_m3_s,flow_m3_s,velocity_m_s,shortfall_m3_s,closed,flow_p05_m3_s,flow_p50_m3_s,flow_p95_m3_s,target_probability
main-fan,fan,fan-house,atmosphere-out,30,0.004,0,222.3707047979798,7.412356826599327,0.0,False,213.68503333417388,222.85465018096846,229.95367394383354,1.0
intake-shaft-0,intake,atmosphere-in,intake-0,30,0.012,0,222.37070479797978,7.412356826599326,0.0,False,213.68503333417388,222.8546501809685,229.95367394383356,1.0
return-shaft-0,return,return-0,fan-house,28,0.015,0,222.3707047979798,7.941810885642136,0.0,False,213.68503333417388,222.85465018096846,229.95367394383354,1.0
l0-supply-0,intake,intake-0,l0-in-0,22,0.025,0,96.03865335593392,4.365393334360633,0.0,False,91.0317175487749,96.15891547792951,100.52289678274909,1.0
l0-extract-0,return,l0-out-0,return-0,22,0.03,0,91.66050807636556,4.166386730743889,0.0,False,87.77409986016332,91.77591107346407,96.31144433955696,1.0
l0-working-0,working,l0-in-0,l0-stope-0,13,0.75,15,31.156750833264304,2.3966731410203312,0.0,False,28.447382025016665,31.211256918085017,33.765223990871206,1.0
l0-stope-return-0,return,l0-stope-0,l0-out-0,15,0.22,0,31.156750833264304,2.07711672221762,0.0,False,28.447382025016665,31.211256918085017,33.765223990871206,1.0
l0-supply-1,intake,l0-in-0,l0-in-1,22,0.033,0,64.88190252266962,2.9491773873940734,0.0,False,60.94229198689705,65.1636392304136,68.47719283394431,1.0
l0-extract-1,return,l0-out-1,l0-out-0,22,0.037,0,60.503757243101255,2.75017078377733,0.0,False,57.41716702831302,60.49015842819951,63.92995299334672,1.0
l0-working-1,working,l0-in-1,l0-stope-1,14,0.94,18,23.629921019671638,1.687851501405117,0.0,False,21.393354001608323,23.500217532331785,25.73038626689469,1.0
l0-stope-return-1,return,l0-stope-1,l0-out-1,15,0.255,0,23.629921019671638,1.5753280679781092,0.0,False,21.393354001608323,23.500217532331785,25.73038626689469,1.0
l0-supply-2,intake,l0-in-1,l0-in-2,22,0.041,0,41.25198150299797,1.8750900683180896,0.0,False,37.440407300942994,41.46909742170591,44.47644441451248,1.0
l0-extract-2,return,l0-out-2,l0-out-1,22,0.044,0,36.87383622342962,1.6760834647013463,0.0,False,34.47609976414581,36.82239468009289,39.46434113039026,1.0
l0-working-2,working,l0-in-2,l0-stope-2,15,1.13,15,19.45850150634101,1.2972334337560671,0.0,False,17.720510585178594,19.414061396075947,21.530642053986547,1.0
l0-stope-return-2,return,l0-stope-2,l0-out-2,15,0.29000000000000004,0,19.45850150634101,1.2972334337560671,0.0,False,17.720510585178594,19.414061396075947,21.530642053986547,1.0
