edge_id,kind,from_node,to_node,area_m2,resistance_Pa_s2_m6,target_m3_s,flow_m3_s,velocity_m_s,shortfall_m3_s,closed,flow_p05_m3_s,flow_p50_m3_s,flow_p95_m3_s,target_probability
main-fan,fan,fan-house,atmosphere-out,30,0.004,0,228.22817025985395,7.6076056753284655,0.0,False,220.67114742674576,229.40433044028725,236.3904263370427,1.0
intake-shaft-0,intake,atmosphere-in,intake-0,30,0.012,0,228.22817025985398,7.607605675328466,0.0,False,220.67114742674573,229.40433044028725,236.3904263370427,1.0
return-shaft-0,return,return-0,fan-house,28,0.015,0,228.22817025985395,8.15100608070907,0.0,False,220.67114742674576,229.40433044028725,236.3904263370427,1.0
l0-supply-0,intake,intake-0,l0-in-0,22,0.025,0,92.39054064136108,4.199570029152777,0.0,False,87.42365699484606,92.42887382961672,97.92236117128418,1.0
l0-extract-0,return,l0-out-0,return-0,22,0.03,0,87.6873808021898,3.985790036463172,0.0,False,84.13211725639773,88.19080913443574,92.3282267443978,1.0
l0-working-0,working,l0-in-0,l0-stope-0,13,0.75,15,29.845842733772333,2.2958340564440256,0.0,False,27.337913044145054,29.909824251784677,32.424620461754756,1.0
l0-stope-return-0,return,l0-stope-0,l0-out-0,15,0.22,0,29.845842733772333,1.9897228489181555,0.0,False,27.337913044145054,29.909824251784677,32.424620461754756,1.0
l0-supply-1,intake,l0-in-0,l0-in-1,22,0.033,0,62.54469790758876,2.8429408139813073,0.0,False,58.73223610823322,62.59989667987135,66.95019846514226,1.0
l0-extract-1,return,l0-out-1,l0-out-0,22,0.037,0,57.841538068417464,2.629160821291703,0.0,False,54.38580221191349,58.23195849163449,61.64314605625965,1.0
l0-working-1,working,l0-in-1,l0-stope-1,14,0.94,18,22.615053922256514,1.6153609944468938,0.0,False,20.70827427217673,22.74564137156311,24.9727275946742,1.0
l0-stope-return-1,return,l0-stope-1,l0-out-1,15,0.255,0,22.615053922256514,1.5076702614837676,0.0,False,20.70827427217673,22.74564137156311,24.9727275946742,1.0
l0-supply-2,intake,l0-in-1,l0-in-2,22,0.041,0,39.929643985332255,1.8149838175151025,0.0,False,35.8579429678744,39.75166161892912,43.91613640425103,1.0
l0-extract-2,return,l0-out-2,l0-out-1,22,0.044,0,35.22648414616095,1.6012038248254976,0.0,False,32.89415208309214,35.3098481470953,38.01661446648541,1.0
l0-working-2,working,l0-in-2,l0-stope-2,15,1.13,15,18.598847647071594,1.2399231764714396,0.0,False,16.79653260996189,18.659784234672976,20.288496668161933,1.0
l0-stope-return-2,return,l0-stope-2,l0-out-2,15,0.29000000000000004,0,18.598847647071594,1.2399231764714396,0.0,False,16.79653260996189,18.659784234672976,20.288496668161933,1.0
l0-supply-3,intake,l0-in-2,l0-in-3,22,0.049,0,21.330796338260654,0.9695816517391207,0.0,False,17.3494672207125,21.136352439609855,24.32945602733007,1.0
l0-extract-3,return,l0-out-3,l0-out-2,22,0.051000000000000004,0,16.627636499089355,0.7558016590495161,0.0,False,15.130852834964696,16.647683664462953,18.45185893225528,1.0
l0-working-3,working,l0-in-3,l0-stope-3,16,1.32,18,16.627636499089355,1.0392272811930847,1.3723635009106445,False,15.130852834964696,16.647683664462953,18.45185893225528,0.1015625
l0-stope-return-3,return,l0-stope-3,l0-out-3,15,0.325,0,16.627636499089355,1.1085090999392904,0.0,False,15.130852834964696,16.647683664462953,18.45185893225528,1.0
intake-shaft-1,intake,intake-0,intake-1,30,0.016,0,127.31275196804167,4.243758398934722,0.0,False,121.6591944521381,127.94562896601474,133.29556405273195,1.0
return-shaft-1,return,return-1,return-0,28,0.018,0,132.015911807213,4.71485399311475,0.0,False,126.28137065113427,132.50115224783076,137.6223891331935,1.0
l1-supply-0,intake,intake-1,l1-in-0,22,0.025,0,62.744185029957926,2.852008410452633,0.0,False,59.28959839845342,62.98666076213776,66.89340692971794,1.0
l1-extract-0,return,l1-out-0,return-1,22,0.03,0,64.25499476780615,2.920681580354825,0.0,False,60.61264314944455,64.38971131825596,67.58343240521432,1.0
l1-working-0,working,l1-in-0,l1-stope-0,13,0.97,15,20.758668236086365,1.596820633545105,0.0,False,18.865743728363697,20.68524940640379,23.13594885692372,1.0
l1-stope-return-0,return,l1-stope-0,l1-out-0,15,0.22,0,20.758668236086365,1.383911215739091,0.0,False,18.865743728363697,20.68524940640379,23.13594885692372,1.0
l1-supply-1,intake,l1-in-0,l1-in-1,22,0.033,0,41.98551679387156,1.9084325815396164,0.0,False,38.70462067113876,42.00887482805385,45.39263404784425,1.0
l1-extract-1,return,l1-out-1,l1-out-0,22,0.037,0,43.496326531719774,1.977105751441808,0.0,False,40.728584665921964,43.5936919965166,45.968111487507564,1.0
l1-working-1,working,l1-in-1,l1-stope-1,14,1.16,18,16.486942261700737,1.177638732978624,1.5130577382992634,False,14.875221479505493,16.471665763919805,18.2436023215844,0.0703125
l1-stope-return-1,return,l1-stope-1,l1-out-1,15,0.255,0,16.486942261700737,1.0991294841133825,0.0,False,14.875221479505493,16.471665763919805,18.2436023215844,1.0
l1-supply-2,intake,l1-in-1,l1-in-2,22,0.041,0,25.49857453217082,1.1590261150986736,0.0,False,22.59734797322064,25.503949722590594,28.66845845598702,1.0
l1-extract-2,return,l1-out-2,l1-out-1,22,0.044,0,27.009384270019037,1.2276992850008652,0.0,False,25.05061053053669,27.008485634228958,28.927672231140566,1.0
l1-working-2,working,l1-in-2,l1-stope-2,15,1.35,15,14.096113671374308,0.9397409114249539,0.903886328625692,False,12.62108088539355,14.06773788244756,15.425709558055582,0.125
l1-stope-return-2,return,l1-stope-2,l1-out-2,15,0.29000000000000004,0,14.096113671374308,0.9397409114249539,0.0,False,12.62108088539355,14.06773788244756,15.425709558055582,1.0
l1-supply-3,intake,l1-in-2,l1-in-3,22,0.049,0,11.402460860796513,0.5182936754907506,0.0,False,8.724627554458104,11.493857781566074,14.602837101456437,1.0
l1-extract-3,return,l1-out-3,l1-out-2,22,0.051000000000000004,0,12.913270598644727,0.5869668453929422,0.0,False,11.525918770813178,12.863582501298298,14.324423707778308,1.0
l1-working-3,working,l1-in-3,l1-stope-3,16,1.54,18,12.913270598644727,0.8070794124152955,5.086729401355273,False,11.525918770813178,12.863582501298298,14.324423707778308,0.0
l1-stope-return-3,return,l1-stope-3,l1-out-3,15,0.325,0,12.913270598644727,0.8608847065763151,0.0,False,11.525918770813178,12.863582501298298,14.324423707778308,1.0
