edge_id,kind,from_node,to_node,area_m2,resistance_Pa_s2_m6,target_m3_s,flow_m3_s,velocity_m_s,shortfall_m3_s,closed,flow_p05_m3_s,flow_p50_m3_s,flow_p95_m3_s,target_probability
main-fan,fan,fan-house,atmosphere-out,30,0.004,0,182.4587685391626,6.08195895130542,0.0,False,177.61665152352433,183.17636634645413,187.87589697692917,1.0
intake-shaft-0,intake,atmosphere-in,intake-0,30,0.012,0,182.45876853916258,6.0819589513054195,0.0,False,177.61665152352433,183.17636634645413,187.87589697692917,1.0
return-shaft-0,return,return-0,fan-house,28,0.015,0,182.4587685391626,6.516384590684379,0.0,False,177.61665152352433,183.17636634645413,187.87589697692917,1.0
l0-supply-0,intake,intake-0,l0-in-0,22,0.025,0,81.25149903411791,3.6932499560962686,0.0,False,77.30085202739554,81.42561130503954,85.17352565929446,1.0
l0-extract-0,return,l0-out-0,return-0,22,0.03,0,77.93033326008897,3.5422878754585896,0.0,False,73.97391418149843,78.06563774847073,82.86899862086761,1.0
l0-working-0,working,l0-in-0,l0-stope-0,8,1.7999999999999998,12,29.751011671095906,3.7188764588869883,0.0,False,26.641053620620372,29.662407104018932,32.75679195468695,1.0
l0-stope-return-0,return,l0-stope-0,l0-out-0,15,0.22,0,29.751011671095906,1.9834007780730605,0.0,False,26.641053620620372,29.662407104018932,32.75679195468696,1.0
l0-supply-1,intake,l0-in-0,l0-in-1,22,0.033,0,51.50048736302202,2.340931243773728,0.0,False,47.728587796980996,51.76137735399361,55.43500980988258,1.0
l0-extract-1,return,l0-out-1,l0-out-0,22,0.037,0,48.17932158899307,2.1899691631360487,0.0,False,44.969431495585056,48.385969116121125,51.68914250976343,1.0
l0-working-1,working,l0-in-1,l0-stope-1,8,2.256,12,25.357152530738595,3.1696440663423244,0.0,False,22.91133656634606,25.22147223010642,27.80683618081931,1.0
l0-stope-return-1,return,l0-stope-1,l0-out-1,15,0.255,0,25.357152530738595,1.690476835382573,0.0,False,22.91133656634606,25.22147223010642,27.80683618081931,1.0
l0-supply-2,intake,l0-in-1,l0-in-2,22,0.041,0,26.143334832283408,1.1883334014674276,0.0,False,22.58434236965012,26.326082291630144,29.318187545209618,1.0
l0-extract-2,return,l0-out-2,l0-out-1,22,0.044,0,22.822169058254474,1.0373713208297488,0.0,False,21.006783719589222,22.980291409917406,25.34210421022498,1.0
l0-working-2,working,l0-in-2,l0-stope-2,8,2.7119999999999997,12,22.822169058254474,2.8527711322818092,0.0,False,21.006783719589222,22.980291409917406,25.34210421022498,1.0
l0-stope-return-2,return,l0-stope-2,l0-out-2,15,0.29000000000000004,0,22.822169058254474,1.521477937216965,0.0,False,21.006783719589222,22.980291409917406,25.34210421022498,1.0
intake-shaft-1,intake,intake-0,intake-1,30,0.016,0,101.20726950504466,3.3735756501681555,0.0,False,97.2634283711269,101.58268334992368,106.02923640323199,1.0
