edge_id,kind,from_node,to_node,area_m2,resistance_Pa_s2_m6,target_m3_s,flow_m3_s,velocity_m_s,shortfall_m3_s,closed,flow_p05_m3_s,flow_p50_m3_s,flow_p95_m3_s,target_probability
main-fan,fan,fan-house,atmosphere-out,30,0.004,0,142.29252999000528,4.7430843330001755,0.0,False,131.04231955019512,142.60736443669714,154.84079919164208,1.0
intake-shaft-0,intake,atmosphere-in,intake-0,30,0.012,0,142.29252999000525,4.743084333000175,0.0,False,131.04231955019512,142.60736443669714,154.84079919164208,1.0
return-shaft-0,return,return-0,fan-house,28,0.12,0,142.29252999000528,5.081876071071617,0.0,False,131.04231955019512,142.60736443669714,154.84079919164208,1.0
l0-supply-0,intake,intake-0,l0-in-0,22,0.025,0,61.454061474796816,2.7933664306725827,0.0,False,56.34404202571193,61.648143080265,66.86691407717431,1.0
l0-extract-0,return,l0-out-0,return-0,22,0.03,0,58.652535216832455,2.666024328037839,0.0,False,54.098044936984785,58.512040460077,63.58039537109762,1.0
l0-working-0,working,l0-in-0,l0-stope-0,13,0.75,15,19.93685681916163,1.5336043707047406,0.0,False,17.83013809678903,19.99168950564988,22.081825896808,1.0
l0-stope-return-0,return,l0-stope-0,l0-out-0,15,0.22,0,19.93685681916163,1.3291237879441087,0.0,False,17.83013809678903,19.99168950564988,22.081825896808,1.0
l0-supply-1,intake,l0-in-0,l0-in-1,22,0.033,0,41.51720465563518,1.8871456661652355,0.0,False,37.53171399683049,41.86571755067783,45.72519552642336,1.0
l0-extract-1,return,l0-out-1,l0-out-0,22,0.037,0,38.71567839767083,1.7598035635304923,0.0,False,35.2918328796211,38.70106965541718,42.37402254997446,1.0
l0-working-1,working,l0-in-1,l0-stope-1,14,0.94,18,15.120522500514323,1.0800373214653087,2.8794774994856773,False,13.247398837890362,15.184740015469565,16.994289266909718,0.00390625
l0-stope-return-1,return,l0-stope-1,l0-out-1,15,0.255,0,15.120522500514323,1.0080348333676215,0.0,False,13.247398837890362,15.184740015469565,16.994289266909718,1.0
l0-supply-2,intake,l0-in-1,l0-in-2,22,0.041,0,26.396682155120857,1.1998491888691298,0.0,False,23.46224714292873,26.511752589516156,29.29827240597958,1.0
l0-extract-2,return,l0-out-2,l0-out-1,22,0.044,0,23.595155897156506,1.0725070862343866,0.0,False,21.15493003889809,23.657189295900288,25.911384837469956,1.0
l0-working-2,working,l0-in-2,l0-stope-2,15,1.13,15,12.451277751118342,0.8300851834078895,2.548722248881658,False,10.865845510940154,12.43038063363834,14.033431879127095,0.01171875
l0-stope-return-2,return,l0-stope-2,l0-out-2,15,0.29000000000000004,0,12.451277751118342,0.8300851834078895,0.0,False,10.865845510940154,12.43038063363834,14.033431879127095,1.0
l0-supply-3,intake,l0-in-2,l0-in-3,22,0.049,0,13.945404404002511,0.6338820183637505,0.0,False,11.599300927479874,13.98174022606507,16.211319728589906,1.0
l0-extract-3,return,l0-out-3,l0-out-2,22,0.051000000000000004,0,11.143878146038164,0.5065399157290075,0.0,False,9.831375053521585,11.162255351560109,12.536750076399002,1.0
l0-working-3,working,l0-in-3,l0-stope-3,16,1.32,18,11.143878146038164,0.6964923841273852,6.856121853961836,False,9.831375053521585,11.162255351560109,12.536750076399002,0.0
l0-stope-return-3,return,l0-stope-3,l0-out-3,15,0.325,0,11.143878146038164,0.7429252097358776,0.0,False,9.831375053521585,11.162255351560109,12.536750076399002,1.0
intake-shaft-1,intake,intake-0,intake-1,30,0.016,0,80.83846851520845,2.694615617173615,0.0,False,73.81916908420014,80.88934511647216,88.31961888073378,1.0
return-shaft-1,return,return-1,return-0,28,0.018,0,83.6399947731728,2.9871426704704573,0.0,False,76.97450577057285,84.14295897698747,91.61668971465744,1.0
l1-supply-0,intake,intake-1,l1-in-0,22,0.025,0,43.53974190351968,1.9790791774327128,0.0,False,39.56324778725282,43.66651217286733,47.92072390461865,1.0
l1-extract-0,return,l1-out-0,return-1,22,0.03,0,44.479715225887254,2.0218052375403297,0.0,False,40.68277438025512,44.53404705227267,48.84378201103581,1.0
l1-working-0,working,l1-in-0,l1-stope-0,13,0.97,15,14.37630711317307,1.10586977793639,0.6236928868269302,False,12.625618463769255,14.286844599329456,16.249296019717,0.28515625
l1-stope-return-0,return,l1-stope-0,l1-out-0,15,0.22,0,14.37630711317307,0.958420474211538,0.0,False,12.625618463769255,14.286844599329456,16.249296019717,1.0
l1-supply-1,intake,l1-in-0,l1-in-1,22,0.033,0,29.16343479034662,1.3256106722884828,0.0,False,26.246768844811083,29.354649842914085,32.39269988475866,1.0
l1-extract-1,return,l1-out-1,l1-out-0,22,0.037,0,30.103408112714185,1.3683367323960993,0.0,False,27.068467179090305,30.310961749018496,32.92798098698961,1.0
l1-working-1,working,l1-in-1,l1-stope-1,14,1.16,18,11.414156732336735,0.815296909452624,6.5858432676632646,False,10.016815454364616,11.441692143488332,12.820431255327664,0.0
l1-stope-return-1,return,l1-stope-1,l1-out-1,15,0.255,0,11.414156732336735,0.7609437821557824,0.0,False,10.016815454364616,11.441692143488332,12.820431255327664,1.0
l1-supply-2,intake,l1-in-1,l1-in-2,22,0.041,0,17.74927805800988,0.8067853662731764,0.0,False,15.53315004137503,17.91776826689312,20.35822395150052,1.0
l1-extract-2,return,l1-out-2,l1-out-1,22,0.044,0,18.68925138037745,0.8495114263807931,0.0,False,16.80924746584406,18.835644993714794,20.717064608526865,1.0
l1-working-2,working,l1-in-2,l1-stope-2,15,1.35,15,9.75508682792384,0.6503391218615894,5.24491317207616,False,8.557275241287268,9.742356239182712,11.047491651164396,0.0
l1-stope-return-2,return,l1-stope-2,l1-out-2,15,0.29000000000000004,0,9.75508682792384,0.6503391218615894,0.0,False,8.557275241287268,9.742356239182712,11.047491651164396,1.0
l1-supply-3,intake,l1-in-2,l1-in-3,22,0.049,0,7.994191230086041,0.3633723286402746,0.0,False,6.076949270519779,8.06581776676581,10.174089892596605,1.0
l1-extract-3,return,l1-out-3,l1-out-2,22,0.051000000000000004,0,8.934164552453609,0.40609838874789134,0.0,False,7.886492744438655,8.992573634036791,10.15395348173595,1.0
l1-working-3,working,l1-in-3,l1-stope-3,16,1.54,18,8.934164552453609,0.5583852845283506,9.065835447546391,False,7.886492744438655,8.992573634036791,10.15395348173595,0.0
l1-stope-return-3,return,l1-stope-3,l1-out-3,15,0.325,0,8.934164552453609,0.5956109701635739,0.0,False,7.886492744438655,8.992573634036791,10.15395348173595,1.0
ramp-link-1,crosscut,l0-in-3,l1-in-3,16,0.85,0,2.801526257964349,0.1750953911227718,0.0,False,0.6801365057438856,2.9310427175146376,4.698925940280004,1.0
intake-shaft-2,intake,intake-1,intake-2,30,0.02,0,37.298726611688764,1.2432908870562922,0.0,False,34.11783155375224,37.35761333929835,40.97658271365351,1.0
return-shaft-2,return,return-2,return-1,28,0.020999999999999998,0,39.16027954728553,1.3985814124030547,0.0,False,35.86399895116622,39.2706700626779,43.030938052012715,1.0
l2-supply-0,intake,intake-2,l2-in-0,22,0.025,0,37.298726611688764,1.695396664167671,0.0,False,34.11783155375224,37.35761333929835,40.97658271365351,1.0
l2-extract-0,return,l2-out-0,return-2,22,0.03,0,39.16027954728553,1.780012706694797,0.0,False,35.86399895116622,39.2706700626779,43.030938052012715,1.0
l2-working-0,working,l2-in-0,l2-stope-0,13,1.19,15,12.258430823005618,0.9429562171542784,2.741569176994382,False,10.761779259316535,12.291832377192751,14.01938912053373,0.00390625
l2-stope-return-0,return,l2-stope-0,l2-out-0,15,0.22,0,12.258430823005618,0.8172287215337078,0.0,False,10.761779259316535,12.291832377192751,14.01938912053373,1.0
l2-supply-1,intake,l2-in-0,l2-in-1,22,0.033,0,25.040295788683142,1.138195263121961,0.0,False,22.41136833836727,25.040799841904942,27.725181835973125,1.0
l2-extract-1,return,l2-out-1,l2-out-0,22,0.037,0,26.901848724279926,1.2228113056490875,0.0,False,24.415126751157892,27.002277691939994,29.406223338675872,1.0
l2-working-1,working,l2-in-1,l2-stope-1,14,1.38,18,10.02781075225274,0.7162721965894815,7.972189247747259,False,8.933683585731915,10.073785589483494,11.123934864253474,0.0
l2-stope-return-1,return,l2-stope-1,l2-out-1,15,0.255,0,10.02781075225274,0.6685207168168493,0.0,False,8.933683585731915,10.073785589483494,11.123934864253474,1.0
l2-supply-2,intake,l2-in-1,l2-in-2,22,0.041,0,15.0124850364304,0.6823856834741091,0.0,False,13.03197425387447,14.972268506788279,17.086402196978256,1.0
l2-extract-2,return,l2-out-2,l2-out-1,22,0.044,0,16.87403797202718,0.7670017260012354,0.0,False,15.021579851957704,16.892054069999446,18.610734118198582,1.0
l2-working-2,working,l2-in-2,l2-stope-2,15,1.5699999999999998,15,8.757241373918335,0.5838160915945557,6.242758626081665,False,7.707630471257026,8.74126017539361,9.95888533531349,0.0
l2-stope-return-2,return,l2-stope-2,l2-out-2,15,0.29000000000000004,0,8.757241373918335,0.5838160915945557,0.0,False,7.707630471257026,8.74126017539361,9.95888533531349,1.0
l2-supply-3,intake,l2-in-2,l2-in-3,22,0.049,0,6.255243662512066,0.28432925738691206,0.0,False,4.737936784521652,6.269693033953871,7.843548729989964,1.0
l2-extract-3,return,l2-out-3,l2-out-2,22,0.051000000000000004,0,8.116796598108845,0.3689452999140384,0.0,False,7.221962758949168,8.12265491858287,9.242820739037468,1.0
l2-working-3,working,l2-in-3,l2-stope-3,16,1.76,18,8.116796598108845,0.5072997873818028,9.883203401891155,False,7.221962758949168,8.12265491858287,9.242820739037468,0.0
l2-stope-return-3,return,l2-stope-3,l2-out-3,15,0.325,0,8.116796598108845,0.5411197732072563,0.0,False,7.221962758949168,8.12265491858287,9.242820739037468,1.0
ramp-link-2,crosscut,l1-in-3,l2-in-3,16,0.85,0,1.8615529355967788,0.11634705847479868,0.0,False,0.540679533331496,1.845459515473839,3.329821776007792,1.0
